year,month,day,hour,min,sec,ms,id,data
0,0,0,0,7,21,432,0cffd048,0000000000000000
0,0,0,0,7,21,453,0cfff048,000000000e016400
0,0,0,0,7,21,453,0cfff748,0000000000000000
0,0,0,0,7,21,463,0cfff148,be05be05000000ff
0,0,0,0,7,21,463,0cfff848,00000000e8030000
0,0,0,0,7,21,472,0cfff248,0400040004000400
0,0,0,0,7,21,472,0cfff948,0000000000000000
0,0,0,0,7,21,482,0cfff348,0400040004001500
0,0,0,0,7,21,482,0cfffa48,000000000000ffff
0,0,0,0,7,21,482,0cfff448,0000000000000000
0,0,0,0,7,21,482,0cfffb48,0000000000000000
0,0,0,0,7,21,482,0cfff048,000000000e016400
0,0,0,0,7,21,482,0cfffc48,0000000000000000
0,0,0,0,7,21,515,0cfff148,be05be05000000ff
0,0,0,0,7,21,515,0cfffd48,e8035b050004e803
0,0,0,0,7,21,522,0cfffe48,e903e803ffffffff
0,0,0,0,7,21,532,0cffd048,0000000000000000
0,0,0,0,7,21,553,0cfff048,000000000e016400
0,0,0,0,7,21,553,0cfff748,0000000000000000
0,0,0,0,7,21,562,0cfff148,be05be05000000ff
0,0,0,0,7,21,562,0cfff848,00000000e8030000
0,0,0,0,7,21,572,0cfff248,0400040007000400
0,0,0,0,7,21,572,0cfff948,0000000000000000
0,0,0,0,7,21,585,0cfff348,0400040004001500
